                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2963,                 3.7804,                 4.2043,                0.00056,                0.07289,                0.00706,                0.00167,                      0,                    inf,                      0,                 0.0706,              0.0032667,              0.0032667
                      1,                 2.8765,                 2.7176,                 3.5707,                0.00186,                0.06522,                0.00429,                0.00146,                      0,                    inf,                      0,               0.040535,              0.0065347,              0.0065347
                      2,                 2.3525,                 2.3007,                 2.9064,                0.69309,                0.17519,                0.17027,                0.07073,                      0,                    inf,                      0,               0.010403,              0.0097367,              0.0097367
                      3,                 2.1166,                 2.0119,                 2.6079,                0.56333,                0.07033,                0.03465,                0.00841,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.8849,                 1.7673,                 2.3609,                0.82386,                0.19949,                0.23186,                0.12906,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.6594,                 1.4874,                 2.1418,                0.88842,                 0.2532,                0.32891,                0.23345,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.5001,                 1.2501,                 2.0004,                0.73644,                0.24425,                0.18304,                0.06372,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.2827,                 1.0598,                 1.7982,                0.82543,                 0.3838,                0.32635,                0.22382,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.1877,                0.92108,                  1.659,                0.97691,                0.39622,                0.42001,                0.27211,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.0166,                0.83603,                 1.5002,                0.89945,                0.38107,                0.39741,                0.24044,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     10,                0.94604,                0.77172,                 1.4199,                0.97594,                0.37852,                0.41295,                0.34261,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     11,                0.88453,                 0.7177,                 1.3385,                 0.9269,                0.36829,                 0.4143,                 0.3062,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     12,                0.82236,                0.67181,                  1.286,                0.96214,                0.42142,                0.43821,                0.33878,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     13,                0.77264,                0.61876,                 1.2373,                0.88078,                0.38363,                0.40205,                0.23311,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     14,                0.73315,                 0.6086,                 1.2183,                0.93728,                0.41011,                0.43497,                0.32209,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     15,                 0.6972,                0.58692,                 1.1833,                0.97138,                0.42117,                 0.4378,                0.35438,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
